Alpha,Beta,BinaryCondition,Condition,Delta,Gamma,TernaryCondition,Theta
0.3002263229,0.1724280205,,RecoveryEyesOpened,1.9286555788,0.0827237248,InBetween,0.510475121
0.3866269934,0.1536195128,Conscious,AwakeEyesClosed,1.8451249189,0.056100281,Conscious,0.5836897232
0.4074530949,0.2177085972,Conscious,AwakeEyesOpened,2.3767535614,0.0998285229,Conscious,0.7027284566
0.121245404,0.0685722258,,AnestheticInjection,1.4260994006,0.0299580073,InBetween,0.2033879939
0.1794002184,0.1017501141,Unconscious,Anesthetized,1.7508699003,0.0522291921,Unconscious,0.2998450032
0.3382924502,0.1552197011,,RecoveryEyesClosed,2.390152229,0.0666746241,InBetween,0.5189150359
0.3203791898,0.1770883109,,RecoveryEyesOpened,2.3436896012,0.0916839863,InBetween,0.5501786726
0.2909840163,0.1209144718,Conscious,AwakeEyesClosed,1.5108328778,0.0447118985,Conscious,0.416723687
0.471585319,0.2217377635,Conscious,AwakeEyesOpened,5.5161222768,0.0960973532,Conscious,0.8693767516
0.1510254329,0.0674622497,,AnestheticInjection,1.2690233813,0.0340234358,InBetween,0.2695057677
0.123033454,0.0606558305,Unconscious,Anesthetized,1.248336697,0.0507795357,Unconscious,0.2652117075
0.2262787686,0.1113224942,,RecoveryEyesClosed,3.0479538949,0.0757218593,InBetween,0.4675693873
0.2400968492,0.1147916929,,RecoveryEyesOpened,1.8311212513,0.0688260446,InBetween,0.4330685909
0.33257569,0.1231352695,Conscious,AwakeEyesClosed,1.3483170432,0.0436008184,Conscious,0.4716850367
0.3549407828,0.1781199412,Conscious,AwakeEyesOpened,2.3272946484,0.0801548121,Conscious,0.6177247014
0.3297911008,0.129693502,,AnestheticInjection,2.0702247984,0.0438777643,InBetween,0.5779778047
0.3139637718,0.1213510766,Unconscious,Anesthetized,1.959273085,0.0389521411,Unconscious,0.5594646917
0.3701964096,0.1350077519,,RecoveryEyesClosed,1.5598986314,0.0576931917,InBetween,0.4857413802
0.2833983526,0.1467117876,,RecoveryEyesOpened,1.5634992104,0.0655497329,InBetween,0.4816712153
0.8566790009,0.3716245022,Conscious,AwakeEyesClosed,3.4759307528,0.1341178177,Conscious,1.1598936492
1.3101935199,0.5361590586,Conscious,AwakeEyesOpened,8.4485312099,0.2246360286,Conscious,2.5900789368
0.4961399932,0.1771252841,,AnestheticInjection,3.0919327449,0.0661841886,InBetween,1.1396698164
0.5811613887,0.2026493365,Unconscious,Anesthetized,4.0549932315,0.1110185817,Unconscious,1.1195431624
0.1821020677,0.0852916902,,AntagonistInjection,1.4554087111,0.0562650622,InBetween,0.4245797987
2.0098344627,0.8952257047,,RecoveryEyesClosed,10.1967964882,0.3701701436,InBetween,4.0765834488
1.3043068325,0.7040242004,,RecoveryEyesOpened,9.430820366,0.251431164,InBetween,2.6678019634
0.5944875643,0.3029495167,Conscious,AwakeEyesClosed,1.5579986078,0.1091824229,Conscious,0.6962999964
0.5934480658,0.3295086121,Conscious,AwakeEyesOpened,1.5472911968,0.1312742576,Conscious,0.8897054308
0.2414865093,0.1210816259,,AnestheticInjection,1.1901040687,0.0542882745,InBetween,0.3963342043
0.4627616204,0.1797956369,Unconscious,Anesthetized,3.6014827114,0.0959474231,Unconscious,0.9794213648
0.1932668734,0.0836946543,,AntagonistInjection,1.587217904,0.0532061204,InBetween,0.3914550143
0.3385357941,0.2556886444,,RecoveryEyesClosed,1.5991877231,0.162308285,InBetween,0.5397979199
0.3910267156,0.2208705849,,RecoveryEyesOpened,1.3430585444,0.1111916598,InBetween,0.5947196927
0.5787236299,0.3301469854,Conscious,AwakeEyesOpened,1.6675666353,0.1334277344,Conscious,0.8744635386
0.5955987967,0.3019390382,Conscious,AwakeEyesClosed,1.6237225694,0.1098096318,Conscious,0.6661229896
0.3081127777,0.1548668941,,AnestheticInjection,2.2975003342,0.0961644303,InBetween,0.5375586673
0.4957407631,0.2028488823,Unconscious,Anesthetized,3.3923791941,0.1103436429,Unconscious,0.9191162277
0.1407846727,0.0718272298,,AntagonistInjection,1.3803071698,0.0466440962,InBetween,0.2612920375
0.3713191583,0.2795679707,,RecoveryEyesClosed,2.0472612096,0.1707510824,InBetween,0.56461847
